puppet|96956922ecd624b28d63af16a1d2667c87141e01fcdeb829036ff5614997af2e|fifi|fifi@gmail.com|MALE|1|ff|false|2000|5|3|0|0|0|0|0|1|0|0|0|0|0|Ancient Egypt - Day 1,Vase - Day 1,Wallnuts - Day 1,Izombie - Day 1,Beghouled - Day 1,Zombotany - Day 1|Peashooter#4#true,Sunflower#2#true,Wall-nut#3#false||||true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,||0|||1|false|false|false
trn|890cfc9af169622408c0eb0867b881256f8c76c594bc276a80168a1a3353aa34|titi|titi@gmail.com|FEMALE|||false|2000|5|3|0|0|0|0|0|1|0|0|0|0|0|Ancient Egypt - Day 1,Vase - Day 1,Wallnuts - Day 1,Izombie - Day 1,Beghouled - Day 1,Zombotany - Day 1|Peashooter#4#true,Sunflower#2#true,Wall-nut#3#false||||true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,||0|||1|false|false|false
melody|0e68de0f2672f6fd439bb6771e81b6b1f0d21e2a2a7f342149d7525116415e11|melo|melo@gmail.com|FEMALE|1|kk|false|2000|5|3|0|0|0|0|0|1|0|0|0|0|0|Ancient Egypt - Day 1,Vase - Day 1,Wallnuts - Day 1,Izombie - Day 1,Beghouled - Day 1,Zombotany - Day 1|Peashooter#4#true,Sunflower#2#true,Wall-nut#3#false||||true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,||0|||1|false|false|false
amoooa|6e698021f823cd3adeed666f4d5a52df0ef6639738037b59aaf74faca7a6c13e|amoooa|python.amoooa@gmail.com|MALE|3|tehran|false|33100|835|3|4|0|0|4|0|1|1|1|1|12|1|Ancient Egypt - Day 1,Vase - Day 1,Wallnuts - Day 1,Izombie - Day 1,Beghouled - Day 1,Zombotany - Day 1,Ancient Egypt - Day 2,Frozen Caves - Day 2,Vase - Day 2|Peashooter#4#true,Sunflower#2#true,Wall-nut#3#false,Fire Peashooter#2#false,Jalapeno#1#false,Phat Beet#1#false||undefended-row-1,family-avoid-SUN_PRODUCER,family-avoid-LOBBER,undefended-cross,one-less-column-1,ocd,family-avoid-HOMING,family-avoid-STRIKE_THROUGH,economic-herbivore-0,one-less-column-5,family-kill-SHOOTER,one-less-column-3,one-less-column-2|Peashooter#385,Fire Peashooter#0,Wall-nut#20|true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,false#true##0.0#true#false,false#true##0.0#true#false,false#true##0.0#false#false,false#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,|2,0,false,Sunflower,false,|0||wall-nut|1|false|true|false
test|d20d422c940c941db00d9ee788a7ff986ca546f833c9d78b90df6ad9c21fe8f9|titi|test@gmail.com|FEMALE|1|bibi|false|1400|349|3|5|0|0|2|25|1|1|2|0|6|2|Ancient Egypt - Day 1,Vase - Day 1,Wallnuts - Day 1,Izombie - Day 1,Beghouled - Day 1,Zombotany - Day 1,Ancient Egypt - Bonus,Frozen Caves - Day 2|Peashooter#4#true,Sunflower#2#true,Wall-nut#3#false,Imitater#1#false,Sun Bean#1#false,Bonk Choy#1#false,Hypno-shroom#1#false,Hot Potato#1#false,Tangle Kelp#1#false,Gold Bloom#1#false,Enlighten-mint#1#true,Primal Sunflower#1#false,Twin Sunflower#1#true,Goo Peashooter#1#false,Snow Pea#1#false,Citron#1#false,Starfruit#1#false,Split Pea#1#false,Rotobaga#1#false,Pea Pod#1#false,Mega Gatling Pea#1#false,Bowling Bulb#1#true,Fire Peashooter#2#false,Threepeater#1#false,Repeater#1#false||defense-master,ocd,family-avoid-SUN_PRODUCER,family-avoid-HOMING,one-less-column-8,economic-herbivore-3,pro-destroyer,one-less-column-4|Tangle Kelp#17|true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,false#true##0.0#false#false,false#false##0.0#true#true,false#true##0.0#false#false,false#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,|0,0,false,Peashooter,false,2026-09-01|0|||1|false|true|false
dcfvg|911a1ef52910cfe905959e38097042d1685ca9013fa39d5738c801e5dd49e9ca|dfgg|melobh@gmail.com|MALE|1|dd|false|2000|5|3|0|0|0|0|0|1|0|0|0|0|0|Ancient Egypt - Day 1,Vase - Day 1,Wallnuts - Day 1,Izombie - Day 1,Beghouled - Day 1,Zombotany - Day 1|Peashooter#4#true,Sunflower#2#true,Wall-nut#3#false||||true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,||0|||1|false|false|false
melodyyyy|911a1ef52910cfe905959e38097042d1685ca9013fa39d5738c801e5dd49e9ca|melo|melo@gmail.com|MALE|1|ff|true|200|655|3|0|0|0|5|0|1|4|3|0|12|3|Ancient Egypt - Day 1,Vase - Day 1,Wallnuts - Day 1,Izombie - Day 1,Beghouled - Day 1,Zombotany - Day 1,Frozen Caves - Day 2,Ancient Egypt - Bonus,Dark Ages - Day 1|Peashooter#4#true,Sunflower#2#true,Wall-nut#3#false,Snow Pea#1#false,Lily Pad#1#false,Garlic#1#false,Cabbage-pult#1#false,Iceberg Lettuce#1#false,Fire Peashooter#2#false,Potato Mine#1#false,Tangle Kelp#1#false,Bonk Choy#1#false,Hypno-shroom#1#false,Bowling Bulb#1#true|Ra,Default,Imp,cone head,Umbrella,Barrel Roller,Explorer,Tomb raiser,Piano,Prospector,knight,Allstar,Snorkel,Turquoise,Arcade,Octopus,FrozenCavesZomboss,DarkAgesZomboss,Imp Dragon,BigWaveBeachZomboss|family-avoid-SUN_PRODUCER,pro-destroyer,defense-master,one-less-column-1,ocd,family-avoid-HOMING,family-avoid-STRIKE_THROUGH,economic-herbivore-4,one-less-column-7,family-avoid-MODIFIER,one-less-column-6,economic-herbivore-0,one-less-column-5,family-kill-SHOOTER,one-less-column-2|Garlic#20,Fire Peashooter#16|true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,||0|||1|false|true|false
melodyyy|911a1ef52910cfe905959e38097042d1685ca9013fa39d5738c801e5dd49e9ca|melo|melo@gmail.com|FEMALE|1|ff|false|2000|5|3|0|0|0|0|0|1|0|0|0|0|0|Ancient Egypt - Day 1,Vase - Day 1,Wallnuts - Day 1,Izombie - Day 1,Beghouled - Day 1,Zombotany - Day 1|Peashooter#4#true,Sunflower#2#true,Wall-nut#3#false||||true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,||0|||1|false|false|false
titi|5be79f353632aa63efa7fc088bc659e2d2f76d06c9959103c5e728a88e363c39|tata|tarane.m@gmail.com|FEMALE|1|aaa|false|3800|717|3|2|0|0|6|2|1|1|1|5|20|3|Ancient Egypt - Day 1,Vase - Day 1,Wallnuts - Day 1,Izombie - Day 1,Beghouled - Day 1,Zombotany - Day 1,Vase - Day 2,Wallnuts - Day 2,Vase - Day 3,Izombie - Day 2,Ancient Egypt - Day 2|Peashooter#4#true,Sunflower#2#true,Wall-nut#3#false||undefended-row-1,family-avoid-EXPLOSIVE,undefended-row-0,family-avoid-SUN_PRODUCER,family-avoid-LOBBER,undefended-cross,family-kill-WALL_NUT,one-less-column-1,ocd,one-less-column-0,symmetry,family-avoid-HOMING,family-avoid-STRIKE_THROUGH,economic-herbivore-4,one-less-column-6,family-avoid-SHOOTER,economic-herbivore-1,economic-herbivore-0,one-less-column-5,one-less-column-4,undefended-row-2,family-kill-SHOOTER,one-less-column-2|Peashooter#20,Wall-nut#1,Sunflower#9|true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#true#false,false#true##0.0#false#false,false#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,|0,0,false,Wall-nut,false,2026-08-30|0|||1|false|true|false
hana|55929a1ba572c962e0cc5754acc5e1b6b7211d144894bf8d656867b7a4f4b762|hana|hananeh.khoram@gmail.com|MALE|1|hossein|false|400|355|3|0|0|40|5|0|1|5|1|0|7|1|Ancient Egypt - Day 1,Vase - Day 1,Wallnuts - Day 1,Izombie - Day 1,Beghouled - Day 1,Zombotany - Day 1,Ancient Egypt - Day 2,Frozen Caves - Day 1|Peashooter#4#true,Sunflower#2#true,Wall-nut#3#false,Citron#1#false,Pea Pod#1#false,Appease mint#1#true,Bowling Bulb#1#true,Enlighten-mint#1#true,Gold Bloom#1#false,Twin Sunflower#1#true,Bombard-mint#1#false,Enchant-mint#1#false,Reinforce-mint#1#false,Enforce-mint#1#false,Arma-mint#1#false,Pierce-mint#1#false,catTail-mint#1#false||undefended-row-1,family-avoid-EXPLOSIVE,family-avoid-MELEE,family-avoid-LOBBER,undefended-cross,ocd,family-avoid-HOMING,family-avoid-STRIKE_THROUGH,economic-herbivore-1,one-less-column-6,undefended-row-3,one-less-column-5,economic-herbivore-0,one-less-column-4,family-kill-SHOOTER,one-less-column-3,undefended-row-4,one-less-column-2|Pea Pod#19,Appease mint#20|true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,false#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,true#true##0.0#false#false,|0,0,false,Gold Bloom,false,2026-09-01|0|||1|false|true|true
